rule_id,name,dimension,severity,action,weight,rows_checked,rows_failed,fail_rate_pct,rationale
DQ001,Invoice id present,completeness,blocker,quarantine,5,115207,68,0.059,"A line without an invoice id cannot be attributed to an order, so neither order counts nor average order value can be computed from it."
DQ002,Invoice date present and parseable,validity,blocker,quarantine,5,115207,57,0.0495,Every KPI in this project is time sliced. A line without a timestamp cannot be assigned to a period.
DQ003,Stock code present,completeness,major,quarantine,3,115207,45,0.0391,Product level analysis and the product dimension both key on stock code.
DQ004,Quantity is not zero,validity,major,quarantine,3,115207,138,0.1198,A zero quantity line carries no revenue and no unit. It is almost always an artefact of an editing step in the source system.
DQ005,Unit price is not negative,validity,blocker,quarantine,5,115207,172,0.1493,"Negative prices in this source are adjustment postings, not sales. Leaving them in understates revenue in a way that cannot be reconciled."
DQ006,Unit price is greater than zero for sellable products,validity,major,flag,3,112857,616,0.5458,"Zero priced product lines are giveaways, samples or data entry errors. They must not drag the average unit price down silently, so they are flagged and reported separately rather than removed."
DQ007,Customer id present,completeness,minor,flag,1,115207,24358,21.1428,"Roughly a fifth of the lines in this source have no customer id. They are real revenue and must stay in revenue KPIs, but they cannot enter customer counts, retention or cohort analysis. They are routed to a guest segment."
DQ008,Quantity within plausible range,accuracy,minor,flag,1,115207,45,0.0391,"Single lines of five figure quantities exist in this source and are genuine wholesale orders. They are not errors, but they distort averages, so they are flagged and can be excluded in sensitivity checks."
DQ009,Unit price within plausible range,accuracy,minor,flag,1,115207,35,0.0304,High value lines are mostly manual adjustments and postage corrections.
DQ010,No exact duplicate transaction lines,uniqueness,major,quarantine,3,115207,344,0.2986,Byte identical repeats of the same line are re-exports from the source system. Keeping them double counts revenue and units.
DQ011,Cancellation lines carry a negative quantity,consistency,major,flag,3,3671,75,2.043,"An invoice id with the cancellation prefix should hold negative quantities. Where it does not, the return logic and the invoice prefix disagree and the line cannot be trusted for return rate reporting."
DQ012,Product description present,completeness,minor,fix,1,115207,563,0.4887,"A missing description is repaired from the most frequent description seen for the same stock code, and only falls back to a placeholder when the stock code never carries a description."
DQ013,Description normalised,consistency,minor,fix,1,115207,2305,2.0007,The same product appears with trailing whitespace and mixed casing. Left untouched it splits one product into several rows in every group by.
